id,channel_id,channel_title,channel_username
2,1182095850,Banca Official,Banca_Official
4,1084849956,Ripple XRP,Ripple
5,1190369843,Dropil,DropilCoin
6,1131330253,AphelionToken,apheliontoken
8,1101032037,Storiqa Community EN [1],storiqa_en
10,1145640225,Bytecoin BCN,bytecoinchat
49,1123726212,Moeda Only Official English Channel,moedaproject
13,1133568176,Sentinel Chain,sentinelchain
14,1131111133,TokenPay,TokenPay
15,1123984838,Pundi X Official | English,pundix
17,1138366019,Bee Token,beetoken
18,1262525476,GINcoin,gincoin
20,1127803396,Waltonchain Chat,waltonchain_en
21,1327144373,XMax,XMXblock_org
22,1141204286,SCRY.INFO（DDD） official community 中文,scryinfo1
17468,1083567201,TokenCard,TokenCard
24,1135681282,Cappasity (CAPP),cappasity3d
25,1128794996,Verge Currency,VERGExvg
17473,1080456156,Pepecash,pepecash
28,1214322172,RED Restart Energy Democracy,RestartEnergy
29,1129928333,Propy | Official Channel,propy
30,1108850730,Paragon Official Chat,
31,1103967290,BLOCKv Community,block_v
60,1104049742,Electroneum,officialelectroneum
34,1207518611,ODYSSEY (OCN) Official Community,OdysseyOfficial
35,1147786229,Oyster Protocol,oysterprotocol
36,1145777734,Blackmoon community,blackmooncrypto
37,1121500097,Crowd Machine,crowdmachine
38,1127480027,Nexo.io Community,nexofinance
39,1127149590,trade.io English Community Group,TradeToken
41,1148153521,Electrify.Asia (Official),electrifyasia
42,1273848543,Zebi,ZebiData
43,1390784967,Holo,channelholo
44,1105165322,Horizen (formerly ZenCash),zencash
45,1206304049,Sharder Talk,sharder_talk
17474,1050137750,Counterparty XCP,Counterparty
47,1165493087,AllSportsChain SOC,allsportschain
48,1147557899,Red Pulse Phoenix,redpulse
50,1120760194,ETHLend Community,ETHLend
52,1135206794,Crypviser Official Group,crypviser
53,1122637550,Flixxo,flixxo
55,1300283891,Nebula AI Community,NebulaAICommunity
56,1243668451,Nexty.io - Community,nexty_io
57,1233609710,NKN,nknorg
16,1359380055,DigitexFutures — Zero-Fee Futures Trading,digitexfutureschat
59,1142303473,AdEx Network,adexnetwork
61,1054828595,Genesis Vision,genesisvision
65,1117047494,Eximchain,eximchain
66,1142278369,MATRIX AI Network,matrixainetwork
68,1365650703,DECENT.bet Official (English),OfficialDecentBet
69,1357307897,CallistoNetwork,CallistoNet
71,1148250611,UTRUST,utrustofficial
74,1139977474,EXRNchain Community,
75,1250401087,Mithril Community,MithrilChat
