channel_username,channel_title,channel_id,date,unique_posters,total_messages,est_percentage_of_questions,posters_pie_chart
,[CLOSED] Quantstamp,1,2018-11-07,6,7,0.2857,"{""384560064"": 0.1429, ""455897699"": 0.1429, ""470771081"": 0.1429, ""277524523"": 0.2857, ""480427728"": 0.1429, ""423048442"": 0.1429}"
SatowalletExchange,Satowallet Trading Group,3,2018-11-07,3,27,0.0,"{""176365905"": 0.9259, ""497714228"": 0.037, ""544054604"": 0.037}"
Ripple,Ripple XRP,4,2018-11-07,37,131,0.1069,"{""484041737"": 0.0305, ""529895821"": 0.0076, ""480901902"": 0.0076, ""650387985"": 0.0229, ""511567124"": 0.0534, ""261244309"": 0.0916, ""454472085"": 0.0458, ""489209750"": 0.0076, ""706807705"": 0.0305, ""542736026"": 0.1527, ""578531994"": 0.0076, ""329063708"": 0.0382, ""458928025"": 0.0076, ""504302238"": 0.0076, ""498713635"": 0.0076, ""698460708"": 0.0153, ""625132457"": 0.0229, ""89929262"": 0.0076, ""461363641"": 0.0076, ""131007042"": 0.0076, ""467232578"": 0.0076, ""475701959"": 0.0076, ""665057488"": 0.0076, ""356651347"": 0.0076, ""132506453"": 0.0153, ""497181784"": 0.0076, ""538171227"": 0.0076, ""479011680"": 0.0076, ""653165408"": 0.0534, ""514492640"": 0.1756, ""246899173"": 0.0153, ""608035430"": 0.0076, ""755677677"": 0.0458, ""497042798"": 0.0076, ""650953456"": 0.0076, ""477956343"": 0.0305, ""505871868"": 0.0076}"
DropilCoin,Dropil,5,2018-11-07,27,128,0.2188,"{""404290561"": 0.0703, ""456696714"": 0.1016, ""422105355"": 0.0078, ""513146897"": 0.0234, ""453744787"": 0.0234, ""664562835"": 0.0234, ""534815637"": 0.0156, ""411884950"": 0.1719, ""455456668"": 0.1016, ""528743072"": 0.0312, ""498960673"": 0.0078, ""232798505"": 0.0234, ""612521903"": 0.0078, ""395360307"": 0.0078, ""523995060"": 0.0078, ""569571124"": 0.0078, ""316296763"": 0.0078, ""533359809"": 0.0781, ""731011525"": 0.0234, ""337504461"": 0.0078, ""508695124"": 0.0625, ""524490458"": 0.0391, ""376548319"": 0.0625, ""537170400"": 0.0078, ""511045095"": 0.0078, ""582712935"": 0.0078, ""436052469"": 0.0625}"
apheliontoken,AphelionToken,6,2018-11-07,20,129,0.2171,"{""483073026"": 0.0233, ""455162498"": 0.0155, ""578517381"": 0.0233, ""676480140"": 0.093, ""261244309"": 0.0388, ""509330973"": 0.0078, ""597240993"": 0.0078, ""406484528"": 0.0078, ""630404528"": 0.186, ""469296319"": 0.031, ""266513601"": 0.1705, ""475714903"": 0.1938, ""469549531"": 0.0078, ""409793891"": 0.0078, ""467301093"": 0.093, ""377058925"": 0.0388, ""451411438"": 0.0078, ""500248687"": 0.0233, ""422229364"": 0.0155, ""435024639"": 0.0078}"
Uplatform,🇬🇧Universa Official Group,7,2018-11-07,4,13,0.0769,"{""397124195"": 0.2308, ""524532569"": 0.2308, ""333201435"": 0.4615, ""774344109"": 0.0769}"
storiqa_en,Storiqa Community EN [1],8,2018-11-07,27,82,0.2439,"{""546184708"": 0.0732, ""469848713"": 0.0122, ""538447629"": 0.0244, ""529361422"": 0.0366, ""210944655"": 0.0488, ""698167699"": 0.0122, ""191577364"": 0.0122, ""372274974"": 0.0122, ""569673259"": 0.0976, ""774344109"": 0.0122, ""175819061"": 0.0244, ""490265527"": 0.0366, ""522734014"": 0.0122, ""534028352"": 0.0366, ""537307717"": 0.0244, ""623575751"": 0.0122, ""441849812"": 0.0122, ""631027412"": 0.0244, ""484714584"": 0.0244, ""396872281"": 0.1951, ""632004699"": 0.0244, ""704700893"": 0.0244, ""488854112"": 0.061, ""304493795"": 0.0366, ""253886821"": 0.0854, ""498596203"": 0.0122, ""509127035"": 0.0122}"
hello_iconworld,ICON Project,9,2018-11-07,25,143,0.0979,"{""392421124"": 0.014, ""747356677"": 0.007, ""496308871"": 0.007, ""495167255"": 0.035, ""510365466"": 0.007, ""414809244"": 0.021, ""400940319"": 0.0559, ""625132457"": 0.007, ""287217080"": 0.1049, ""541153854"": 0.007, ""405446594"": 0.035, ""413592900"": 0.007, ""412095813"": 0.014, ""507592518"": 0.1469, ""775280086"": 0.014, ""530704857"": 0.049, ""449546844"": 0.021, ""428001118"": 0.021, ""443017569"": 0.014, ""400753764"": 0.014, ""468499814"": 0.2308, ""494765288"": 0.007, ""278208361"": 0.1119, ""456798065"": 0.042, ""490338295"": 0.007}"
bytecoinchat,Bytecoin BCN,10,2018-11-07,11,41,0.1707,"{""558020258"": 0.0244, ""140045765"": 0.122, ""472090470"": 0.2683, ""574411559"": 0.0488, ""196338152"": 0.0488, ""625132457"": 0.0244, ""425706067"": 0.1951, ""527922388"": 0.0244, ""497622645"": 0.0732, ""362750070"": 0.0488, ""698334173"": 0.122}"
etherparty,Vanbex Labs (FUEL),11,2018-11-07,4,9,0.0,"{""474700170"": 0.3333, ""330739540"": 0.2222, ""774344109"": 0.1111, ""436942526"": 0.3333}"
creditscom,CREDITS Blockchain Platform,12,2018-11-07,32,71,0.1549,"{""465905809"": 0.0141, ""552195091"": 0.0282, ""582676883"": 0.0282, ""515455382"": 0.0141, ""520002454"": 0.0423, ""531814558"": 0.0141, ""489018014"": 0.0141, ""436860453"": 0.0704, ""479353127"": 0.0141, ""506451371"": 0.0423, ""465737387"": 0.0141, ""482441262"": 0.0141, ""528029103"": 0.0423, ""507717042"": 0.0141, ""534527926"": 0.0141, ""539677496"": 0.0141, ""407002561"": 0.0282, ""252844099"": 0.0141, ""726817353"": 0.0563, ""439604817"": 0.0141, ""549468500"": 0.0282, ""523213911"": 0.0141, ""395456344"": 0.0141, ""549945563"": 0.2254, ""654342619"": 0.0704, ""464172512"": 0.0141, ""480101227"": 0.0141, ""447495278"": 0.0282, ""515651695"": 0.0141, ""529722099"": 0.0282, ""518030841"": 0.0141, ""494266365"": 0.0282}"
sentinelchain,Sentinel Chain,13,2018-11-07,6,21,0.0952,"{""438501669"": 0.0952, ""602699846"": 0.2381, ""618887341"": 0.1905, ""625104497"": 0.0476, ""336249203"": 0.1429, ""647515230"": 0.2857}"
TokenPay,TokenPay,14,2018-11-07,15,47,0.2979,"{""798559590"": 0.0426, ""457104391"": 0.0213, ""376240010"": 0.0851, ""462404651"": 0.0213, ""388185453"": 0.0213, ""548631053"": 0.0213, ""545377359"": 0.0213, ""516762446"": 0.0213, ""176365905"": 0.1277, ""467627956"": 0.0426, ""465427925"": 0.0638, ""609520535"": 0.0851, ""514166584"": 0.0638, ""471147673"": 0.2979, ""497840253"": 0.0638}"
pundix,Pundi X Official | English,15,2018-11-07,17,61,0.1967,"{""505078145"": 0.0164, ""241395109"": 0.0164, ""496308871"": 0.0164, ""420616392"": 0.0164, ""631605193"": 0.1803, ""443750698"": 0.0164, ""586637227"": 0.2787, ""720826316"": 0.0164, ""543144617"": 0.0164, ""490984669"": 0.0164, ""507186609"": 0.0492, ""455518943"": 0.1148, ""247128021"": 0.0492, ""526071512"": 0.0656, ""525183067"": 0.0328, ""488863133"": 0.0164, ""431676383"": 0.082}"
digitexfutureschat,DigitexFutures — Zero-Fee Futures Trading,16,2018-11-07,59,238,0.1261,"{""254506496"": 0.0042, ""543986561"": 0.0042, ""384441474"": 0.0042, ""495026179"": 0.021, ""482844802"": 0.0084, ""477784588"": 0.0042, ""225596048"": 0.0042, ""756781073"": 0.0042, ""261244309"": 0.0084, ""459781400"": 0.0042, ""539137690"": 0.0042, ""736241691"": 0.0084, ""652113436"": 0.0042, ""698501022"": 0.0042, ""480385310"": 0.1092, ""609975328"": 0.0462, ""503739169"": 0.0462, ""427786916"": 0.0042, ""555565605"": 0.0042, ""685167781"": 0.0882, ""562257318"": 0.0168, ""684006440"": 0.0168, ""572570408"": 0.0042, ""476338603"": 0.0042, ""645349292"": 0.0042, ""774344109"": 0.0042, ""454859953"": 0.0042, ""437653940"": 0.0084, ""783288375"": 0.0042, ""495103678"": 0.021, ""462660802"": 0.0168, ""485841476"": 0.0084, ""695084100"": 0.0084, ""361832263"": 0.0294, ""726817353"": 0.0042, ""793193419"": 0.0168, ""373550412"": 0.0084, ""719515469"": 0.0168, ""553417426"": 0.0042, ""350542421"": 0.0042, ""614647893"": 0.0042, ""516797278"": 0.0168, ""646002398"": 0.0042, ""765116255"": 0.0042, ""595133025"": 0.0042, ""553089891"": 0.0042, ""526639204"": 0.1471, ""695268711"": 0.042, ""610301035"": 0.0168, ""524239723"": 0.0168, ""439851885"": 0.0462, ""548494318"": 0.0252, ""508355947"": 0.0168, ""539947248"": 0.0294, ""688477934"": 0.0042, ""773942002"": 0.0042, ""479686643"": 0.0126, ""538706675"": 0.0042, ""243127287"": 0.0042}"
beetoken,Bee Token,17,2018-11-07,9,132,0.1591,"{""636038976"": 0.0379, ""535665125"": 0.0758, ""519253638"": 0.2955, ""537815370"": 0.0455, ""774344109"": 0.0076, ""408910965"": 0.0227, ""254609782"": 0.2727, ""437612250"": 0.0076, ""195448475"": 0.2348}"
gincoin,GINcoin,18,2018-11-07,13,153,0.1046,"{""507896418"": 0.2026, ""590973411"": 0.0065, ""501679143"": 0.0458, ""448489127"": 0.0458, ""350366830"": 0.0131, ""580902033"": 0.0196, ""317766578"": 0.1699, ""579523667"": 0.0261, ""681996148"": 0.3856, ""457674585"": 0.0065, ""507501179"": 0.0654, ""518693788"": 0.0065, ""765939103"": 0.0065}"
waltonchain_en,Waltonchain Chat,20,2018-11-07,15,152,0.0789,"{""724573602"": 0.4671, ""432850210"": 0.0066, ""483939814"": 0.0132, ""466489962"": 0.0066, ""48482634"": 0.0132, ""368858892"": 0.0066, ""774344109"": 0.0066, ""320646158"": 0.1382, ""538222002"": 0.0329, ""585943507"": 0.0132, ""261244309"": 0.0132, ""640456181"": 0.2566, ""515196758"": 0.0066, ""402262589"": 0.0066, ""419059774"": 0.0132}"
XMXblock_org,XMax,21,2018-11-07,4,7,0.2857,"{""541174400"": 0.1429, ""530117516"": 0.2857, ""774344109"": 0.1429, ""527436710"": 0.4286}"
cappasity3d,Cappasity (CAPP),24,2018-11-07,3,3,0.0,"{""496461184"": 0.3333, ""454629602"": 0.3333, ""774344109"": 0.3333}"
VERGExvg,Verge Currency,25,2018-11-07,14,46,0.1087,"{""420756096"": 0.1304, ""55323073"": 0.0435, ""381617987"": 0.0217, ""642641924"": 0.0652, ""410439395"": 0.0652, ""701180013"": 0.087, ""582277134"": 0.1087, ""515482319"": 0.0217, ""568169746"": 0.1522, ""616915988"": 0.1522, ""542710805"": 0.0217, ""573748377"": 0.0217, ""140139034"": 0.087, ""314443642"": 0.0217}"
Dimecoinofficialpublic,Dimecoin® Network Community (Official),27,2018-11-07,3,5,0.2,"{""532783553"": 0.6, ""460443110"": 0.2, ""513177094"": 0.2}"
RestartEnergy,RED Restart Energy Democracy,28,2018-11-07,5,10,0.2,"{""593546211"": 0.1, ""225686533"": 0.3, ""368264075"": 0.2, ""774344109"": 0.1, ""518255027"": 0.3}"
,Paragon Official Chat,30,2018-11-07,2,3,0.0,"{""460053667"": 0.6667, ""525596684"": 0.3333}"
block_v,BLOCKv Community,31,2018-11-07,7,11,0.2727,"{""240349410"": 0.0909, ""774344109"": 0.0909, ""391521301"": 0.1818, ""464512086"": 0.1818, ""456486136"": 0.1818, ""343260345"": 0.1818, ""501135548"": 0.0909}"
docToken,doc.com Token (MTC),32,2018-11-07,9,24,0.25,"{""558017858"": 0.0417, ""533640227"": 0.0417, ""487944488"": 0.0417, ""679184720"": 0.0417, ""516729585"": 0.25, ""586553490"": 0.0417, ""661274868"": 0.0417, ""606950169"": 0.4583, ""189053913"": 0.0417}"
Bricks4UsChat,Bricks4Us Marketplace - Chat,33,2018-11-07,4,6,0.1667,"{""84210004"": 0.3333, ""372980142"": 0.3333, ""173475782"": 0.1667, ""551508479"": 0.1667}"
