,table_schema,table_name
172,public,accounts_coinactivityuser_groups
173,public,accounts_coinactivityuser_user_permissions
174,public,auth_group
175,public,auth_group_permissions
176,public,auth_permission
177,public,behaviour_request
178,public,conversation_seeding_conversationmessage
179,public,conversation_seeding_conversationseeding
180,public,dashboard_channelsgroup
181,public,dashboard_currency
182,public,dashboard_stopwords
183,public,dashboard_templatetag
184,public,message_service_channel <<<
185,public,message_service_globalblacklist
186,public,message_service_keyword
187,public,message_service_message
188,public,message_service_message_y2018d311
189,public,message_service_message_y2018d312
190,public,message_service_message_y2018d313
191,public,message_service_message_y2018d314
192,public,message_service_message_y2018d315
193,public,message_service_message_y2018d316
194,public,message_service_message_y2018d317
195,public,message_service_message_y2018d318
196,public,message_service_message_y2018d319
197,public,message_service_message_y2018d320
198,public,message_service_message_y2018d321
199,public,message_service_message_y2018d322
200,public,message_service_message_y2018d323
201,public,message_service_message_y2018d324
202,public,message_service_message_y2018d325
203,public,message_service_message_y2018d326
204,public,message_service_message_y2018d327
205,public,message_service_message_y2018d328
206,public,message_service_message_y2018d329
207,public,message_service_message_y2018d330
208,public,message_service_message_y2018d331
209,public,message_service_message_y2018d332
210,public,message_service_message_y2018d333
211,public,message_service_message_y2018d334
212,public,message_service_message_y2018d335
213,public,message_service_message_y2018d336
214,public,message_service_message_y2018d337
215,public,message_service_message_y2018d338
216,public,message_service_message_y2018d339
217,public,message_service_message_y2018d340
218,public,message_service_message_y2018d341
219,public,message_service_message_y2018d342
220,public,message_service_message_y2018d343
221,public,message_service_message_y2018d344
222,public,message_service_message_y2018d345
223,public,message_service_message_y2018d346
224,public,message_service_message_y2018d347
225,public,message_service_message_y2018d348
226,public,message_service_message_y2018d349
227,public,message_service_message_y2018d350
228,public,message_service_message_y2018d351
229,public,message_service_message_y2018d352
230,public,message_service_message_y2018d353
231,public,message_service_message_y2018d354
232,public,message_service_message_y2018d355
233,public,message_service_message_y2018d356
234,public,message_service_message_y2018d357
235,public,message_service_message_y2018d358
236,public,message_service_message_y2018d359
237,public,message_service_message_y2018d360
238,public,message_service_message_y2018d361
239,public,message_service_message_y2018d362
240,public,message_service_message_y2018d363
241,public,message_service_message_y2018d364
242,public,message_service_message_y2018d365
243,public,message_service_message_y2019d001
244,public,message_service_message_y2019d002
245,public,message_service_message_y2019d003
246,public,message_service_message_y2019d004
247,public,message_service_message_y2019d005
248,public,message_service_message_y2019d006
249,public,message_service_message_y2019d007
250,public,message_service_message_y2019d008
251,public,message_service_message_y2019d009
252,public,message_service_message_y2019d010
253,public,message_service_message_y2019d011
254,public,message_service_message_y2019d012
255,public,message_service_message_y2019d013
256,public,message_service_message_y2019d014
257,public,message_service_message_y2019d015
258,public,message_service_message_y2019d016
259,public,message_service_message_y2019d017
260,public,message_service_message_y2019d018
261,public,message_service_message_y2019d019
262,public,message_service_message_y2019d020
263,public,message_service_message_y2019d021
264,public,message_service_message_y2019d022
265,public,message_service_message_y2019d023
266,public,message_service_message_y2019d024
267,public,message_service_message_y2019d025
268,public,message_service_message_y2019d026
269,public,message_service_message_y2019d027
270,public,message_service_message_y2019d028
271,public,message_service_message_y2019d029
272,public,message_service_message_y2019d030
273,public,message_service_message_y2019d031
274,public,message_service_message_y2019d032
275,public,message_service_message_y2019d033
276,public,message_service_message_y2019d034
277,public,message_service_message_y2019d035
278,public,message_service_message_y2019d036
279,public,message_service_message_y2019d037
280,public,message_service_message_y2019d038
281,public,message_service_message_y2019d039
282,public,message_service_message_y2019d040
283,public,message_service_message_y2019d041
284,public,message_service_message_y2019d042
285,public,message_service_message_y2019d043
286,public,message_service_message_y2019d044
287,public,message_service_message_y2019d045
288,public,message_service_message_y2019d046
289,public,message_service_message_y2019d047
290,public,message_service_message_y2019d048
291,public,message_service_message_y2019d049
292,public,message_service_message_y2019d050
293,public,message_service_message_y2019d051
294,public,message_service_message_y2019d052
295,public,message_service_message_y2019d053
296,public,message_service_message_y2019d054
297,public,message_service_message_y2019d055
298,public,message_service_message_y2019d056
299,public,message_service_message_y2019d057
300,public,message_service_message_y2019d058
301,public,message_service_message_y2019d059
302,public,message_service_message_y2019d060
303,public,message_service_message_y2019d061
304,public,message_service_message_y2019d062
305,public,message_service_message_y2019d063
306,public,message_service_message_y2019d064
307,public,message_service_message_y2019d065
308,public,message_service_message_y2019d066
309,public,message_service_message_y2019d067
